date, Population, Annual Change
31-12-50,1369000,
31-12-51,1461000,6.72
31-12-52,1536000,5.13
31-12-53,1613000,5.01
31-12-54,1695000,5.08
31-12-55,1782000,5.13
31-12-56,1872000,5.05
31-12-57,1967000,5.07
31-12-58,2067000,5.08
31-12-59,2172000,5.08
31-12-60,2283000,5.11
31-12-61,2394000,4.86
31-12-62,2499000,4.39
31-12-63,2610000,4.44
31-12-64,2725000,4.41
31-12-65,2845000,4.4
31-12-66,2971000,4.43
31-12-67,3102000,4.41
31-12-68,3239000,4.42
31-12-69,3381000,4.38
31-12-70,3531000,4.44
31-12-71,3689000,4.47
31-12-72,3864000,4.74
31-12-73,4046000,4.71
31-12-74,4236000,4.7
31-12-75,4436000,4.72
31-12-76,4646000,4.73
31-12-77,4865000,4.71
31-12-78,5095000,4.73
31-12-79,5335000,4.71
31-12-80,5587000,4.72
31-12-81,5862000,4.92
31-12-82,6177000,5.37
31-12-83,6508000,5.36
31-12-84,6858000,5.38
31-12-85,7226000,5.37
31-12-86,7614000,5.37
31-12-87,8022000,5.36
31-12-88,8453000,5.37
31-12-89,8906000,5.36
31-12-90,9384000,5.37
31-12-91,9885000,5.34
31-12-92,10406000,5.27
31-12-93,10954000,5.27
31-12-94,11531000,5.27
31-12-95,12138000,5.26
31-12-96,12779000,5.28
31-12-97,13451000,5.26
31-12-98,14160000,5.27
31-12-99,14906000,5.27
31-12-00,15692000,5.27
31-12-01,16414000,4.6
31-12-02,16956000,3.3
31-12-03,17516000,3.3
31-12-04,18095000,3.31
31-12-05,18691000,3.29
31-12-06,19309000,3.31
31-12-07,19946000,3.3
31-12-08,20606000,3.31
31-12-09,21285000,3.3
31-12-10,21988000,3.3
31-12-11,22714000,3.3
31-12-12,23464000,3.3
31-12-13,24239000,3.3
31-12-14,25039000,3.3
31-12-15,25866000,3.3
31-12-16,26720000,3.3
31-12-17,27602000,3.3
31-12-18,28514000,3.3
31-12-19,29399000,3.1
31-12-20,30291000,3.03
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
