date, Population, Annual Change
31-12-50,746000,
31-12-51,790000,5.9
31-12-52,825000,4.43
31-12-53,862000,4.48
31-12-54,900000,4.41
31-12-55,939000,4.33
31-12-56,981000,4.47
31-12-57,1024000,4.38
31-12-58,1069000,4.39
31-12-59,1117000,4.49
31-12-60,1166000,4.39
31-12-61,1213000,4.03
31-12-62,1252000,3.22
31-12-63,1292000,3.19
31-12-64,1334000,3.25
31-12-65,1377000,3.22
31-12-66,1422000,3.27
31-12-67,1468000,3.23
31-12-68,1515000,3.2
31-12-69,1564000,3.23
31-12-70,1615000,3.26
31-12-71,1678000,3.9
31-12-72,1777000,5.9
31-12-73,1882000,5.91
31-12-74,1993000,5.9
31-12-75,2111000,5.92
31-12-76,2235000,5.87
31-12-77,2367000,5.91
31-12-78,2507000,5.91
31-12-79,2655000,5.9
31-12-80,2812000,5.91
31-12-81,2956000,5.12
31-12-82,3061000,3.55
31-12-83,3169000,3.53
31-12-84,3281000,3.53
31-12-85,3397000,3.54
31-12-86,3517000,3.53
31-12-87,3642000,3.55
31-12-88,3771000,3.54
31-12-89,3904000,3.53
31-12-90,4043000,3.56
31-12-91,4182000,3.44
31-12-92,4318000,3.25
31-12-93,4459000,3.27
31-12-94,4604000,3.25
31-12-95,4754000,3.26
31-12-96,4909000,3.26
31-12-97,5069000,3.26
31-12-98,5234000,3.26
31-12-99,5405000,3.27
31-12-00,5581000,3.26
31-12-01,5779000,3.55
31-12-02,6015000,4.08
31-12-03,6262000,4.11
31-12-04,6519000,4.1
31-12-05,6786000,4.1
31-12-06,7064000,4.1
31-12-07,7354000,4.11
31-12-08,7656000,4.11
31-12-09,7969000,4.09
31-12-10,8296000,4.1
31-12-11,8636000,4.1
31-12-12,8990000,4.1
31-12-13,9358000,4.09
31-12-14,9742000,4.1
31-12-15,10141000,4.1
31-12-16,10557000,4.1
31-12-17,10990000,4.1
31-12-18,11440000,4.09
31-12-19,11883000,3.87
31-12-20,12327000,3.74
31-12-21,12765000,3.55
31-12-22,13193000,3.35
31-12-23,13608000,3.15
31-12-24,14008000,2.94
31-12-25,14395000,2.76
31-12-26,14772000,2.62
31-12-27,15140000,2.49
31-12-28,15504000,2.4
31-12-29,15865000,2.33
31-12-30,16227000,2.28
31-12-31,16590000,2.24
31-12-32,16955000,2.2
31-12-33,17323000,2.17
31-12-34,17693000,2.14
31-12-35,18066000,2.11
