Ward No.,Ward Name,Taluk,Hobli,Assembly Constituency[3],Lok Sabha Constituency[4],Area (km²)[5],Household (HH) - 2011,Population,Population_1,Popn density,Popn density_2,Popn growth rate (%) 2001 - 2011,HH growth rate (%) 2001 - 2011,BBMP Zone[6],BBMP Division,BBMP Sub-Division
1,Kempegowda Ward,Bangalore North (Additional),Yelahanka-1,Yelahanka,Chikballapur,10.9,8647,21866,34783,2006,3182,59.10,72.60,Yelahanka,Yelahanka,Yelahanka
2,Chowdeshwari Ward,Bangalore North (Additional),Yelahanka-1,Yelahanka,Chikballapur,6.5,9506,19626,36602,3019,5635,86.50,111.00,Yelahanka,Yelahanka,Yelahanka
3,Attur,Bangalore North (Additional),Yelahanka-3,Yelahanka,Chikballapur,8.8,14605,24020,58129,2729,6606,142.00,171.3,Yelahanka,Yelahanka,Yelahanka
4,Yelahanka Satellite Town,Bangalore North (Additional),Yelahanka-1,Yelahanka,Chikballapur,4.6,10583,25782,41986,5604,9224,62.90,70.30,Yelahanka,Yelahanka,Yelahanka
5,Jakkur,Bangalore North (Additional),Yelahanka-2,Byatarayanapura,Bangalore North,23.5,12387,20964,52025,892,2215,148.20,168.80,Yelahanka,Byatarayanapura,Byatarayanapura
6,Thanisandra,Bangalore East,Krishnarajapuram,Byatarayanapura,Bangalore North,10.0,16470,20402,71855,2040,7161,252.20,301.90,Yelahanka,Byatarayanapura,Byatarayanapura
7,Byatarayanapura,Bangalore North (Additional),Yelahanka-2,Byatarayanapura,Bangalore North,10.0,18691,31400,72154,3140,7198,129.80,151.30,Yelahanka,Byatarayanapura,Byatarayanapura
8,Kodigehalli,Bangalore North (Additional),Yelahanka-3,Byatarayanapura,Bangalore North,3.8,12036,21635,47546,5693,12369,119.80,134.50,Yelahanka,Byatarayanapura,Byatarayanapura
9,Vidyaranyapura,Bangalore North (Additional),Yelahanka-3,Byatarayanapura,Bangalore North,9.9,14448,23136,57195,2337,5753,147.20,165.50,Yelahanka,Byatarayanapura,Vidyaranyapura
10,Doddabommasandra,Bangalore North (Additional),Yelahanka-3,Byatarayanapura,Bangalore North,4.2,8379,21640,36396,5152,8673,68.20,66.60,Yelahanka,Byatarayanapura,Vidyaranyapura
11,Kuvempunagar,Bangalore North (Additional),Yelahanka-2,Byatarayanapura,Bangalore North,7.1,8519,25295,37128,3563,5207,46.80,53.20,Yelahanka,Byatarayanapura,Vidyaranyapura
12,Shettyhalli,Bangalore North,Yeshwanthpura-1,Dasarahalli,Bangalore North,8.1,15530,28309,61071,3495,7521,115.70,131.10,Dasarahalli,Dasarahalli,Shettyhalli
13,Mallasandra,Bangalore North,Yeshwanthpura-1,Dasarahalli,Bangalore North,1.3,11221,26253,41482,20195,31753,58.00,93.20,Dasarahalli,Dasarahalli,Shettyhalli
14,Bagalagunte,Bangalore North,Yeshwanthpura-1,Dasarahalli,Bangalore North,4.3,17117,28306,65113,6583,15203,130.00,137.00,Dasarahalli,Dasarahalli,T. Dasarahalli
15,T. Dasarahalli,Bangalore North,Yeshwanthpura-2,Dasarahalli,Bangalore North,0.9,8849,26050,33042,28944,37474,26.80,32.10,Dasarahalli,Dasarahalli,T. Dasarahalli
16,Jalahalli,Bangalore North,Yeshwanthpura-1,Rajarajeshwarinagar,Bangalore Rural,5.2,9191,29037,37959,5584,7354,90.70,37.30,Rajarajeshwarinagar,Yeshwanthpura,Yeshwanthpura
17,J. P. Park,Bangalore North,City Circle,Rajarajeshwarinagar,Bangalore Rural,2.0,12553,35174,49610,17587,24203,41.00,54.10,Rajarajeshwarinagar,Yeshwanthpura,Yeshwanthpura
18,Radhakrishna Temple,Bangalore North,Yeshwanthpura-1,Hebbal,Bangalore North,1.9,9058,26211,35122,13795,18014,36.30,48.20,East,Hebbal,Hebbal
19,Sanjaynagar,Bangalore North,Kasaba-2,Hebbal,Bangalore North,1.5,8153,24178,32491,16119,21096,34.40,45.10,East,Hebbal,Hebbal
20,Ganganagar,Bangalore North (Additional),City Circle,Hebbal,Bangalore North,2.3,6592,26256,27361,11416,12096,34.40,45.10,East,Hebbal,Hebbal
21,Hebbala,Bangalore North,Kasaba-2,Hebbal,Bangalore North,1.2,8181,24161,32516,20134,26455,34.60,43.40,East,Hebbal,Hebbal
22,Vishwanatha Nagenahalli,Bangalore North,Kasaba-2,Hebbal,Bangalore North,1.5,12704,25697,51592,17131,34772,100.80,117.60,East,Hebbal,Jayachamarajendranagar
23,Nagavara,Bangalore North,Kasaba-1,Sarvagnanagar,Bangalore Central,2.1,12295,35264,60483,16792,29205,71.50,89.50,East,Sarvagnanagar,HBR Layout
