date, Population, Annual Change
31-12-50,3089000,
31-12-51,3254000,5.34
31-12-52,3366000,3.44
31-12-53,3482000,3.45
31-12-54,3602000,3.45
31-12-55,3726000,3.44
31-12-56,3855000,3.46
31-12-57,3988000,3.45
31-12-58,4125000,3.44
31-12-59,4268000,3.47
31-12-60,4415000,3.44
31-12-61,4573000,3.58
31-12-62,4748000,3.83
31-12-63,4930000,3.83
31-12-64,5119000,3.83
31-12-65,5314000,3.81
31-12-66,5518000,3.84
31-12-67,5729000,3.82
31-12-68,5949000,3.84
31-12-69,6176000,3.82
31-12-70,6413000,3.84
31-12-71,6656000,3.79
31-12-72,6900000,3.67
31-12-73,7152000,3.65
31-12-74,7414000,3.66
31-12-75,7685000,3.66
31-12-76,7967000,3.67
31-12-77,8258000,3.65
31-12-78,8561000,3.67
31-12-79,8874000,3.66
31-12-80,9200000,3.67
31-12-81,9514000,3.41
31-12-82,9794000,2.94
31-12-83,10083000,2.95
31-12-84,10380000,2.95
31-12-85,10686000,2.95
31-12-86,11000000,2.94
31-12-87,11324000,2.95
31-12-88,11659000,2.96
31-12-89,12002000,2.94
31-12-90,12355000,2.94
31-12-91,12709000,2.87
31-12-92,13052000,2.7
31-12-93,13403000,2.69
31-12-94,13764000,2.69
31-12-95,14135000,2.7
31-12-96,14517000,2.7
31-12-97,14908000,2.69
31-12-98,15309000,2.69
31-12-99,15722000,2.7
31-12-00,16147000,2.7
31-12-01,16496000,2.16
31-12-02,16683000,1.13
31-12-03,16872000,1.13
31-12-04,17064000,1.14
31-12-05,17257000,1.13
31-12-06,17453000,1.14
31-12-07,17650000,1.13
31-12-08,17851000,1.14
31-12-09,18053000,1.13
31-12-10,18257000,1.13
31-12-11,18464000,1.13
31-12-12,18674000,1.14
31-12-13,18885000,1.13
31-12-14,19099000,1.13
31-12-15,19316000,1.14
31-12-16,19535000,1.13
31-12-17,19756000,1.13
31-12-18,19980000,1.13
31-12-19,20185000,1.03
31-12-20,20411000,1.12
31-12-21,20668000,1.26
31-12-22,20961000,1.42
31-12-23,21297000,1.6
31-12-24,21673000,1.77
31-12-25,22089000,1.92
31-12-26,22539000,2.04
31-12-27,23018000,2.13
31-12-28,23520000,2.18
31-12-29,24040000,2.21
31-12-30,24572000,2.21
31-12-31,25115000,2.21
31-12-32,25664000,2.19
31-12-33,26220000,2.17
31-12-34,26780000,2.14
31-12-35,27343000,2.1
